State,18-24HSCompleters,LTHS,HS,TOTBACH,BACH,GRAD
Alabama,79.9,19.1,80.9,21.5,13.8,7.8
Alaska,79.9,9.3,90.7,26.4,16.6,9.8
Arizona,79.9,16.4,83.6,25.4,16.2,9.2
Arkansas,79.9,18.7,81.3,19,12.6,6.4
California,79.9,19.7,80.3,29.4,18.9,10.6
Colorado,82.9,11.4,88.6,35.1,22.6,12.4
Connecticut,87.3,11.7,88.3,34.8,19.9,14.9
Delaware,81.9,13.5,86.5,26.8,16.1,10.7
District of Columbia,86.4,14.8,85.2,46.9,20.8,26.2
Florida,80.6,15,85,25.7,16.7,9
Georgia,78.4,17.1,82.9,26.9,17.5,9.4
Hawaii,90.6,10.5,89.5,29,19.2,9.8
Idaho,83.7,12,88,24.1,16.7,7.5
Illinois,84.2,14.4,85.6,29.5,18.5,11
Indiana,81,14.2,85.8,22.5,14.4,8.1
Iowa,87.9,10.4,89.6,24.2,16.8,7.4
Kansas,85.8,11,89,29.2,19.3,9.9
Kentucky,82.6,19.5,80.5,19.9,12,8
Louisiana,77.5,19.9,80.1,20.3,13.6,6.7
Maine,85,10.6,89.4,25.6,16.6,9
Maryland,85.6,12.5,87.5,35.3,19.6,15.7
Massachusetts,87.6,11.6,88.4,37.7,21.8,16
Michigan,84,12.3,87.7,24.8,15.4,9.4
Minnesota,86.7,8.9,91.1,31,21.1,9.8
Mississippi,78.4,21.1,78.9,19.1,12.5,6.6
Missouri,82.4,14.3,85.7,24.6,15.7,9
Montana,83.4,9.4,90.6,26.8,18.5,8.3
Nebraska,86.8,10,90,27,18.5,8.6
Nevada,77.6,16.3,83.7,21.4,14.3,7.1
New Hampshire,87.4,9.6,90.4,32.4,20.9,11.5
New Jersey,85.9,13.2,86.8,33.9,21.2,12.7
New Mexico,77.2,17.7,82.3,24.8,14.2,10.5
New York,84.3,15.9,84.1,31.6,18,13.6
North Carolina,82.4,17.1,82.9,25.7,17.1,8.5
North Dakota,90.9,10.9,89.1,26.1,19.7,6.4
Ohio,84.1,13,87,23.8,15.2,8.7
Oklahoma,81.3,15.2,84.8,22.4,15,7.4
Oregon,82.8,11.9,88.1,27.9,17.8,10.1
Pennsylvania,86.1,13.2,86.8,25.9,16,9.8
Rhode Island,88.5,17,83,29.7,18.3,11.3
South Carolina,81.3,17.7,82.3,23.4,15.2,8.2
South Dakota,83.7,11.4,88.6,24.3,17.2,7.1
Tennessee,82.9,18.2,81.8,22.3,14.5,7.8
Texas,79.7,20.8,79.2,25.1,16.9,8.2
Utah,86.8,9.5,90.5,28.9,19.6,9.3
Vermont,90.4,9,91,33.4,20.6,12.8
Virginia,86.5,14.3,85.7,33.2,19.7,13.6
Washington,82.1,10.6,89.4,30.5,19.8,10.7
West Virginia,83.6,18.6,81.4,16.9,10.3,6.6
Wisconsin,86.3,11,89,25.6,16.9,8.6
Wyoming,86.9,9,91,22.9,15.4,7.5